X,open,high,low,close,adjclose,volume,ticker
03-01-2022,98.40000153,98.40000153,98.40000153,98.40000153,98.40000153,1000,HUBC
04-01-2022,98.40000153,98.40000153,98.40000153,98.40000153,98.40000153,0,HUBC
05-01-2022,98.80000305,99,98.69999695,98.90000153,98.90000153,90090,HUBC
06-01-2022,99.09999847,99.09999847,98.90000153,99,99,38390,HUBC
07-01-2022,99,99.30000305,98.80000305,99.19999695,99.19999695,54640,HUBC
10-01-2022,99.09999847,99.19999695,99,99,99,11510,HUBC
11-01-2022,99,99.19999695,99,99,99,4920,HUBC
12-01-2022,99,99.19999695,99,99.19999695,99.19999695,110,HUBC
13-01-2022,99.19999695,99.19999695,99.19999695,99.19999695,99.19999695,60,HUBC
14-01-2022,99.09999847,99.30000305,99.09999847,99.19999695,99.19999695,5700,HUBC
18-01-2022,99.19999695,99.19999695,99.19999695,99.19999695,99.19999695,0,HUBC
19-01-2022,99.19999695,99.5,99.19999695,99.5,99.5,48350,HUBC
20-01-2022,99.30000305,99.30000305,99.30000305,99.30000305,99.30000305,80,HUBC
21-01-2022,99.09999847,99.15000153,98.90000153,98.90000153,98.90000153,610,HUBC
24-01-2022,99,99.09999847,99,99,99,390,HUBC
25-01-2022,99,99,99,99,99,0,HUBC
26-01-2022,99,99,99,99,99,0,HUBC
27-01-2022,99,99.09999847,98.59999847,98.59999847,98.59999847,8800,HUBC
28-01-2022,99,99.19999695,99,99.19999695,99.19999695,680,HUBC
31-01-2022,99.19999695,99.19999695,99.19999695,99.19999695,99.19999695,0,HUBC
01-02-2022,99.19999695,99.19999695,99.19999695,99.19999695,99.19999695,0,HUBC
02-02-2022,99,99,99,99,99,3200,HUBC
03-02-2022,99,99,99,99,99,0,HUBC
04-02-2022,99.09999847,99.09999847,99.09999847,99.09999847,99.09999847,4350,HUBC
07-02-2022,99.09999847,99.09999847,99.09999847,99.09999847,99.09999847,0,HUBC
08-02-2022,99.09999847,99.09999847,99.09999847,99.09999847,99.09999847,0,HUBC
09-02-2022,99.30000305,99.40000153,99.30000305,99.34999847,99.34999847,12130,HUBC
10-02-2022,99.30000305,99.5,99.30000305,99.5,99.5,17560,HUBC
11-02-2022,99.5,99.5,99.5,99.5,99.5,0,HUBC
14-02-2022,99.5,99.5,99.5,99.5,99.5,0,HUBC
15-02-2022,99.5,99.5,99.5,99.5,99.5,0,HUBC
16-02-2022,99.40000153,99.40000153,99.40000153,99.40000153,99.40000153,24060,HUBC
17-02-2022,99.40000153,99.40000153,99.30000305,99.40000153,99.40000153,30080,HUBC
18-02-2022,99.40000153,99.40000153,99.40000153,99.40000153,99.40000153,0,HUBC
22-02-2022,99.5,99.5,99.5,99.5,99.5,1050,HUBC
23-02-2022,99.5,99.5,99.5,99.5,99.5,0,HUBC
24-02-2022,99.5,99.5,99.5,99.5,99.5,0,HUBC
25-02-2022,99.5,99.5,99.5,99.5,99.5,0,HUBC
28-02-2022,99.59999847,99.59999847,99.59999847,99.59999847,99.59999847,90,HUBC
01-03-2022,99.59999847,99.80000305,99.59999847,99.80000305,99.80000305,23110,HUBC
02-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,20,HUBC
03-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,50,HUBC
04-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,0,HUBC
07-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,0,HUBC
08-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,1760,HUBC
09-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,0,HUBC
10-03-2022,99.80000305,99.80000305,99.80000305,99.80000305,99.80000305,0,HUBC
11-03-2022,99.5,99.80000305,99.5,99.80000305,99.80000305,7670,HUBC
14-03-2022,99.90000153,100,99.80000305,100,100,9260,HUBC
15-03-2022,100,100,100,100,100,450,HUBC
16-03-2022,100,100,100,100,100,0,HUBC
17-03-2022,100,100,100,100,100,80,HUBC
18-03-2022,100,100.0999985,100,100.0999985,100.0999985,50,HUBC
21-03-2022,100.0999985,100.0999985,100.0999985,100.0999985,100.0999985,0,HUBC
22-03-2022,100.0999985,100.0999985,100.0999985,100.0999985,100.0999985,0,HUBC
23-03-2022,100.6999969,100.6999969,100,100.3000031,100.3000031,117280,HUBC
24-03-2022,100.5,100.5,99.69999695,100,100,64730,HUBC
25-03-2022,99.88999939,100.0999985,99.69999695,99.80000305,99.80000305,2910,HUBC
28-03-2022,99.80000305,100,99.69999695,99.69999695,99.69999695,10680,HUBC
29-03-2022,99.86000061,100.4000015,99.69999695,99.90000153,99.90000153,29020,HUBC
30-03-2022,99.69999695,99.80000305,99.69999695,99.69999695,99.69999695,660,HUBC
31-03-2022,99.80000305,100.0199966,99.80000305,99.80000305,99.80000305,470,HUBC
01-04-2022,99.80000305,100.25,99.69999695,100.25,100.25,3870,HUBC
04-04-2022,100.0199966,100.0999985,99.94999695,100.0999985,100.0999985,600,HUBC
05-04-2022,100.0999985,100.1500015,100.0500031,100.0999985,100.0999985,1470,HUBC
06-04-2022,100.1999969,100.1999969,99.90000153,99.90000153,99.90000153,8130,HUBC
07-04-2022,99.91000366,100.2200012,99.91000366,100.1800003,100.1800003,60,HUBC
08-04-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,180,HUBC
11-04-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,0,HUBC
12-04-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,130,HUBC
13-04-2022,100,100,100,100,100,130,HUBC
14-04-2022,100,100.1500015,100,100.1500015,100.1500015,20,HUBC
18-04-2022,100.1500015,100.1500015,100.1500015,100.1500015,100.1500015,0,HUBC
19-04-2022,100.3000031,100.3000031,100.0999985,100.3000031,100.3000031,2280,HUBC
20-04-2022,100.4899979,100.5999985,100.0999985,100.0999985,100.0999985,1670,HUBC
21-04-2022,100.5,100.5,100.5,100.5,100.5,180,HUBC
22-04-2022,100.5,100.5,100.5,100.5,100.5,0,HUBC
25-04-2022,100.1999969,100.1999969,100.0999985,100.1999969,100.1999969,7410,HUBC
26-04-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,20,HUBC
27-04-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,0,HUBC
28-04-2022,100.3000031,100.3000031,100.1999969,100.1999969,100.1999969,650,HUBC
29-04-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,0,HUBC
02-05-2022,100.1999969,100.3000031,100.1999969,100.1999969,100.1999969,340,HUBC
03-05-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,1350,HUBC
04-05-2022,100.6200027,100.6200027,100.6200027,100.6200027,100.6200027,20,HUBC
05-05-2022,100.1999969,100.3000031,100.1999969,100.3000031,100.3000031,1770,HUBC
06-05-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,90,HUBC
09-05-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,90,HUBC
10-05-2022,100.0999985,100.0999985,100.0999985,100.0999985,100.0999985,2980,HUBC
11-05-2022,100.3499985,100.3499985,100.0999985,100.0999985,100.0999985,200,HUBC
12-05-2022,100,100.3000031,100,100.3000031,100.3000031,1020,HUBC
13-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,40,HUBC
16-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,0,HUBC
17-05-2022,100.4899979,100.4899979,100.4899979,100.4899979,100.4899979,30,HUBC
18-05-2022,100.5999985,100.5999985,100,100,100,70,HUBC
19-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,60,HUBC
20-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,0,HUBC
23-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,60,HUBC
24-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,60,HUBC
25-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,0,HUBC
26-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,30,HUBC
27-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,0,HUBC
31-05-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,20,HUBC
01-06-2022,100,100,100,100,100,30,HUBC
02-06-2022,100.0999985,100.1999969,99.90000153,100.1999969,100.1999969,6880,HUBC
03-06-2022,100,100.1999969,100,100.1999969,100.1999969,11170,HUBC
06-06-2022,100.25,100.25,100.0999985,100.0999985,100.0999985,320,HUBC
07-06-2022,100.0999985,100.2799988,100.0999985,100.2799988,100.2799988,5140,HUBC
08-06-2022,100.3000031,100.3000031,100.1999969,100.1999969,100.1999969,130,HUBC
09-06-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,0,HUBC
10-06-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,40,HUBC
13-06-2022,100.4000015,100.4000015,100.1500015,100.1999969,100.1999969,5920,HUBC
14-06-2022,100.1999969,100.1999969,99.90000153,99.90000153,99.90000153,5500,HUBC
15-06-2022,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,0,HUBC
16-06-2022,100,100.3000031,99.90000153,99.90000153,99.90000153,21110,HUBC
17-06-2022,100.0500031,100.0500031,100.0500031,100.0500031,100.0500031,20,HUBC
21-06-2022,100,100.0999985,100,100.0999985,100.0999985,130,HUBC
22-06-2022,100.0999985,100.0999985,100.0999985,100.0999985,100.0999985,0,HUBC
23-06-2022,100.0500031,100.1999969,99.94999695,100,100,5130,HUBC
24-06-2022,100.0999985,100.1500015,100.0999985,100.1500015,100.1500015,140,HUBC
27-06-2022,100.1500015,100.1500015,100.1500015,100.1500015,100.1500015,0,HUBC
28-06-2022,100.1500015,100.1500015,100.1500015,100.1500015,100.1500015,0,HUBC
29-06-2022,100.1500015,100.1500015,100.1500015,100.1500015,100.1500015,0,HUBC
30-06-2022,100.5999985,100.5999985,100.5999985,100.5999985,100.5999985,20,HUBC
01-07-2022,100.5999985,100.5999985,100.5999985,100.5999985,100.5999985,0,HUBC
05-07-2022,100.5999985,100.5999985,100.1999969,100.1999969,100.1999969,530,HUBC
06-07-2022,100.1999969,100.25,100,100.25,100.25,3030,HUBC
07-07-2022,100.3000031,100.3000031,100.3000031,100.3000031,100.3000031,790,HUBC
08-07-2022,100.4000015,100.4000015,100.1999969,100.1999969,100.1999969,120,HUBC
11-07-2022,100.1999969,100.1999969,100.1999969,100.1999969,100.1999969,0,HUBC
12-07-2022,100.3499985,100.3499985,100.3499985,100.3499985,100.3499985,60,HUBC
13-07-2022,100.4000015,100.4000015,100.4000015,100.4000015,100.4000015,240,HUBC
